,source,sink,demand
0,5262.0,6021.0,0.05
1,1802.0,2947.0,0.01
2,6183.0,2972.0,0.21
3,6017.0,5008.0,0.15
4,761.0,3947.0,0.11
5,3462.0,105.0,0.11
6,3085.0,5451.0,0.01
7,1128.0,5805.0,1.94
8,4226.0,5392.0,0.12
9,6048.0,4405.0,5.56
10,3351.0,4856.0,0.85
11,5611.0,2482.0,0.11
12,6141.0,4394.0,0.65
13,4669.0,3087.0,0.08
14,525.0,1714.0,0.67
15,3352.0,126.0,0.01
16,6498.0,4220.0,0.02
17,2150.0,882.0,0.02
18,1536.0,657.0,0.15
19,452.0,2786.0,0.01
20,2687.0,1868.0,0.02
21,6249.0,3060.0,0.08
22,2064.0,5933.0,0.02
23,457.0,1310.0,0.83
24,6179.0,7385.0,0.19
25,104.0,5165.0,0.01
26,6186.0,2684.0,0.01
27,5760.0,3695.0,0.12
28,4394.0,2709.0,0.1
29,4846.0,3030.0,0.01
30,5935.0,4629.0,0.51
31,882.0,1153.0,0.11
32,4961.0,1495.0,0.08
33,2543.0,5856.0,0.03
34,3685.0,2559.0,21.6
35,6919.0,5383.0,0.31
36,5577.0,1239.0,1.26
37,4830.0,6045.0,0.52
38,2694.0,583.0,0.05
39,5283.0,1296.0,0.02
40,662.0,54.0,0.01
41,1276.0,4361.0,0.03
42,5934.0,5310.0,0.22
43,5316.0,2536.0,0.17
44,4919.0,2306.0,0.18
45,7331.0,250.0,0.4
46,3592.0,6348.0,0.02
47,1503.0,6034.0,0.19
48,355.0,5941.0,0.34
49,6274.0,2312.0,0.01
