,source,sink,demand
0,48.0,21.0,5.288314
1,32.0,26.0,658.05059
2,67.0,30.0,12.547047
3,20.0,52.0,4.553094
4,46.0,35.0,7.772933
5,20.0,22.0,35.129881
6,59.0,65.0,58.257931
7,22.0,33.0,18.184193
8,65.0,25.0,10.979506
9,22.0,65.0,2.091389
10,61.0,66.0,13.458986
11,60.0,54.0,33.092327
12,37.0,67.0,4.906394
13,20.0,60.0,8.792995
14,61.0,13.0,6.02138
15,23.0,62.0,42.32433
16,1.0,3.0,471.81948
17,57.0,31.0,31.207997
18,69.0,13.0,12.417476
19,61.0,14.0,6.02138
20,30.0,58.0,18.989162
21,39.0,42.0,146.899241
22,61.0,20.0,6.325123
23,60.0,65.0,58.257931
24,64.0,6.0,3.935759
25,38.0,6.0,21.83349
26,58.0,63.0,18.025677
27,12.0,56.0,146.285293
28,13.0,60.0,2.034743
29,54.0,33.0,9.646155
30,20.0,60.0,8.792995
31,37.0,14.0,14.567283
32,67.0,60.0,13.339367
33,45.0,32.0,7.423145
34,32.0,54.0,10.748869
35,54.0,46.0,80.459532
36,57.0,50.0,157.185283
37,54.0,21.0,0.959323
38,67.0,57.0,12.231377
39,65.0,26.0,10.979506
40,65.0,6.0,3.935759
41,52.0,22.0,5.196287
42,26.0,60.0,142.622365
43,53.0,45.0,33.906862
44,1.0,66.0,1.93676
45,65.0,60.0,12.142594
46,48.0,53.0,6.447164
47,48.0,20.0,4.837528
48,54.0,26.0,9.224858
49,52.0,13.0,4.553321
