,source,sink,demand
0,15.0,3.0,100.0
1,8.0,1.0,800.0
2,13.0,12.0,1300.0
3,23.0,16.0,500.0
4,6.0,12.0,200.0
5,5.0,23.0,100.0
6,13.0,2.0,300.0
7,6.0,4.0,400.0
8,1.0,17.0,400.0
9,1.0,24.0,100.0
10,22.0,7.0,500.0
11,16.0,5.0,500.0
12,1.0,3.0,100.0
13,16.0,24.0,300.0
14,17.0,23.0,600.0
15,2.0,12.0,100.0
16,16.0,7.0,1400.0
17,18.0,20.0,400.0
18,11.0,23.0,1300.0
19,17.0,5.0,200.0
20,20.0,2.0,100.0
21,10.0,21.0,1200.0
22,22.0,6.0,200.0
23,11.0,20.0,600.0
24,5.0,7.0,200.0
25,5.0,9.0,800.0
26,5.0,10.0,1000.0
27,15.0,19.0,800.0
28,19.0,20.0,1200.0
29,13.0,12.0,1300.0
